PWM;VTotal;VDiodo;CDiodo
70;0.57;0.22;1.12
75;0.59;0.22;1.16
80;0.63;0.18;1.43
85;0.79;0.27;1.64
90;0.78;0.23;1.72
95;0.84;0.24;1.89
100;1.03;0.25;2.45
105;1.03;0.25;2.47
110;1.10;0.23;2.75
115;1.31;0.27;3.32
120;1.34;0.26;3.41
125;1.44;0.26;3.72
130;1.71;0.28;4.52
135;1.76;0.27;4.72
140;1.88;0.28;5.07
145;2.22;0.29;6.11
150;2.29;0.29;6.35
155;2.62;0.30;7.37
160;2.87;0.31;8.13
165;2.86;0.30;8.15
170;3.28;0.31;9.42
175;3.45;0.32;9.95
180;3.34;0.31;9.62
185;3.71;0.32;10.78
190;3.87;0.32;11.25
195;3.74;0.31;10.88
200;4.06;0.32;11.85
205;4.15;0.32;12.16
210;4.20;0.32;12.30
215;4.30;0.33;12.60
220;4.37;0.33;12.83
225;4.43;0.33;13.02
230;4.49;0.33;13.20
235;4.55;0.33;13.39
240;4.59;0.33;13.53
245;4.64;0.33;13.69
250;4.68;0.33;13.82
255;4.73;0.33;13.96
0;1.99;0.28;5.43
5;0.62;0.22;1.24
10;0.21;0.15;0.17
15;0.13;0.11;0.06
20;0.13;0.11;0.06
25;0.15;0.12;0.08
30;0.39;0.15;0.74
35;0.21;0.15;0.17
40;0.25;0.17;0.28
45;0.65;0.23;1.32
50;0.33;0.19;0.47
55;0.37;0.20;0.54
60;0.75;0.24;1.61
65;0.49;0.21;0.88
70;0.53;0.22;0.99
75;0.55;0.24;0.96
80;0.97;0.23;2.36
85;0.70;0.23;1.51
90;0.75;0.23;1.63
95;1.16;0.26;2.84
100;0.92;0.24;2.14
105;0.99;0.24;2.37
110;1.39;0.27;3.54
115;1.20;0.26;2.99
120;1.30;0.27;3.27
125;1.70;0.28;4.52
130;1.54;0.27;4.05
135;1.65;0.28;4.33
140;2.17;0.29;5.97
145;2.06;0.28;5.65
150;2.43;0.30;6.77
155;2.67;0.30;7.51
160;2.70;0.29;7.65
165;3.05;0.31;8.69
170;3.26;0.31;9.37
175;3.27;0.31;9.40
180;3.58;0.32;10.36
185;3.76;0.32;10.91
190;3.62;0.31;10.49
195;3.95;0.32;11.53
200;4.05;0.32;11.84
205;4.06;0.32;11.87
210;4.22;0.32;12.38
215;4.31;0.34;12.60
220;4.36;0.33;12.80
225;4.43;0.33;13.02
230;4.50;0.32;13.25
235;4.54;0.33;13.37
240;4.59;0.33;13.55
245;4.57;0.33;13.45
250;4.74;0.33;13.98
255;4.75;0.33;14.04
0;0.00;0.00;0.00
